name,artist,id,popularity,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence
I Want To Break Free,Queen,3mvoMBK8QDtnhz8U2L2XK2,"0
",0.862,4,1,0.00607,201000,4,0.401,-12.088,0.0374,0.0512,109.142,0.18,0.8
Youth Gone Wild,Skid Row,0wkQ1NGp0D1QjC59vmbYNY,"45
",0.534,7,0,0.000359,197786,4,0.818,-7.168,0.0516,0.00227,117.349,0.21,0.642
Soldadito marinero,Fito y Fitipaldis,0eVborSuxUeSg0meWYd9dZ,"69
",0.718,2,1,0.000165,254373,4,0.431,-8.736,0.0314,0.132,139.618,0.0686,0.324
Golden Touch - Full Length,Razorlight,2lvsXbrvjx8fx85uWkrDJt,"0
",0.603,1,0,6.02e-05,205307,4,0.544,-3.731,0.0246,0.0456,95.286,0.253,0.658
All By Myself,Céline Dion,4n9e8Nx2FijSDVoumQwXPW,"0
",0.343,11,0,0.00899,311733,4,0.366,-8.149,0.0281,0.353,115.988,0.0721,0.0771
Drenched in Fear,In Flames,0D94avkTm2AlPfXnPACDXv,"0
",0.53,1,1,0.124,209733,4,0.964,-2.76,0.0673,3.6e-05,105.049,0.214,0.18
Sweetest Thing - The Single Mix,U2,5gvIKfpDQRWObUI1hJ08Gj,"0
",0.535,0,1,2.17e-05,179907,4,0.681,-5.017,0.0364,0.088,142.214,0.306,0.537
If Everyone Cared,Nickelback,4qWQPFK9AtqqxJqGicATHv,"49
",0.522,6,0,0.00579,215106,4,0.874,-4.392,0.0362,0.000273,132.018,0.261,0.196
Here Comes Your Man,Pixies,0cs671lxX2eoDzr2KMuo3N,"69
",0.669,2,1,0.0296,201693,4,0.783,-12.302,0.0295,0.0475,124.518,0.115,0.896
Will You Be There - Single Version,Michael Jackson,0uVmFg5PZuqsZ0tT5QuqDe,"0
",0.402,6,0,0.000431,220320,4,0.632,-6.458,0.0966,0.528,82.971,0.0869,0.399
Du är allt,Sonja Aldén,1BdfSXTVEfUMF0PUMAlB3n,"53
",0.502,9,1,0.0,205320,4,0.178,-9.73,0.038,0.93,118.064,0.284,0.268
Like a Virgin,Madonna,1ZPlNanZsJSPK5h9YZZFbZ,"72
",0.773,3,0,0.00323,218627,4,0.656,-10.88,0.0381,0.202,119.754,0.0697,0.971
It's a Sin,Pet Shop Boys,3GNwCZIv4xKUiyoaQfj9Ah,"58
",0.529,0,0,0.000614,301293,4,0.715,-11.419,0.0431,0.0925,127.17,0.168,0.352
Paint It Black - Stereo Version,The Rolling Stones,5rNBqlG89OJuwKkYBeZtXn,"0
",0.469,1,1,0.00257,202293,4,0.79,-9.262,0.0925,0.0579,158.925,0.41,0.6
Disco 2000,Pulp,3O0ZuqmDLb6ph2PVg6SAKW,"0
",0.563,7,0,0.0,273573,4,0.905,-7.577,0.0679,0.0123,133.053,0.0553,0.553
Give It All,Rise Against,4d4AIYFkR8MSWtKBmphyir,"0
",0.586,2,1,0.00214,169831,4,0.942,-3.171,0.0679,0.000414,103.064,0.0841,0.412
Sick and Tired,Anastacia,6WMQVizkSPAufOGOk2x4dL,"55
",0.595,0,1,0.0,210133,4,0.87,-4.495,0.0394,0.0107,99.741,0.288,0.494
My Sweet Shadow,In Flames,4iccl2cYP8xsNQKuVne2xu,"0
",0.508,10,0,0.78,278653,4,0.959,-5.539,0.0795,0.000318,119.738,0.24,0.0953
Marching Bands of Manhattan,Death Cab for Cutie,7xBWYN1Dzciatr34K6sfDh,"48
",0.361,0,1,0.000396,252560,4,0.47,-9.765,0.0324,0.565,200.273,0.0728,0.431
FF,kent,3ze452XofBjygNhbn0aeBh,"50
",0.628,5,0,0.00506,253480,4,0.912,-5.443,0.0335,0.000267,124.817,0.111,0.95
Move Through me,In Flames,3WpCtbUQ73xCEH4X4HQD2w,"0
",0.518,0,0,0.00101,185787,4,0.973,-3.441,0.0961,2.87e-05,110.005,0.166,0.105
Old Man,Neil Young,2UVSP6BlF8AgQOpzfDUVL2,"0
",0.707,4,0,0.00759,202693,4,0.299,-12.468,0.0342,0.443,141.269,0.0976,0.48
Mr. Crowley,Ozzy Osbourne,3yGBmbKENjYAkCPoHXBk0F,"0
",0.29,2,0,0.00344,295133,4,0.816,-3.548,0.0388,0.0341,108.051,0.446,0.365
Just Like a Pill,P!nk,2Aebl2cIDLjPUvOJPH8xyH,"0
",0.686,9,1,0.0,237040,4,0.782,-4.653,0.0277,0.000106,101.986,0.0961,0.247
Why'd You Come In Here Looking Like That,Jill Johnson,7MCFSfC472TjyAiCh53SvM,"5
",0.573,9,1,0.0,162013,4,0.804,-3.486,0.0882,0.547,176.053,0.208,0.897
The Arms of Sorrow,Killswitch Engage,2ODBkoccYc3grlUClEMS1m,"41
",0.499,5,0,0.000507,224120,4,0.963,-2.729,0.0578,6.53e-05,123.981,0.608,0.16
Human Behaviour,Björk,4ry6oqlwdsooYtniYJFkt5,"0
",0.685,2,1,0.0295,250933,4,0.624,-15.31,0.0364,0.0382,109.457,0.116,0.542
Psychic Suicide,Sonic Syndicate,11dka7VH0xuiHKPdYyHNQE,"0
",0.455,8,1,0.227,230531,4,0.981,-4.007,0.0674,2.52e-05,100.087,0.209,0.43
Easy,Faith No More,1FVcSVHgSiNHwiOh4wLawP,"0
",0.533,10,0,0.00013,185253,4,0.537,-9.382,0.0375,0.397,62.035,0.213,0.372
Wires,Athlete,4ZRi91dY1nL7whWiBkteq2,"0
",0.503,3,0,0.000309,260240,4,0.573,-6.482,0.0292,0.227,134.559,0.156,0.483
Good Luck (Feat Lisa Kekaula),Basement Jaxx,0UyQ9TuZ1lG6eJi4eRKDfO,"58
",0.581,5,1,0.0,211507,4,0.937,-4.14,0.0854,0.0882,153.957,0.328,0.603
2 Minutes to Midnight - 1998 Remaster,Iron Maiden,6aYXSH9JZrD30Av2KlAOMY,"0
",0.459,4,0,0.000305,359760,4,0.953,-6.518,0.066,0.000275,95.074,0.141,0.517
En tätort på en slätt,Lars Winnerbäck,4ALqj9JwGrhsKilIWwUPPV,"45
",0.572,0,1,0.0372,268453,4,0.447,-13.948,0.0283,0.72,99.785,0.154,0.646
Start Me Up - Remastered,The Rolling Stones,1BXO5XG7ctHzjzpRRKlWZd,"0
",0.695,5,1,0.171,212927,4,0.817,-8.406,0.0341,0.154,122.003,0.144,0.97
Fireworks,The Whitest Boy Alive,75CyrsDHzfbw0VFOQBu34P,"0
",0.798,8,1,0.591,192373,4,0.737,-8.247,0.053,0.0547,140.618,0.0804,0.894
Biggest & The Best - Original,Clawfinger,7zfLmzEWI5HJVJ2AJF7tNA,"0
",0.34,1,1,0.00477,233733,4,0.884,-6.875,0.0838,0.00756,170.317,0.089,0.571
Big in Japan,Alphaville,3BZGi1yUqQyCNC868AqUGG,"67
",0.748,2,0,0.0671,286160,4,0.414,-15.15,0.0405,0.069,97.646,0.336,0.239
Sour Times,Portishead,3jD8mKsaq5iDmLhRGx9hLJ,"0
",0.704,8,0,0.307,253005,4,0.64,-6.697,0.0403,0.0526,94.077,0.155,0.555
Pale Blue Eyes,The Velvet Underground,1WGZ2aP5SnBPjaEDg2pVDd,"0
",0.483,5,1,0.000224,341467,4,0.119,-17.748,0.0398,0.914,164.322,0.105,0.363
Requiem For A Dying Song,Flogging Molly,4CWwK18PUFVptFwBQiACI9,"0
",0.463,7,1,0.0187,210693,4,0.966,-3.074,0.0358,0.0129,169.948,0.355,0.942
Message In A Bottle - Remastered 2003,The Police,3bN4tg6rnNPy9GCkGhym4T,"1
",0.577,1,0,1.33e-05,290280,4,0.808,-7.04,0.039,0.0338,151.008,0.221,0.869
Closing Time,Semisonic,4EnkwZd0UJAuHpNMMemQaA,"0
",0.481,7,1,1.24e-06,273160,4,0.865,-5.498,0.0283,0.0204,92.086,0.17,0.241
Slow Hands,Interpol,0mF7YNgURDkBQaxa9YRc47,"55
",0.243,11,0,0.6,183973,4,0.969,-3.134,0.0509,0.000371,141.934,0.364,0.68
It's So Easy,Guns N' Roses,0fu0HHl1yVC2iCUuyBT144,"0
",0.38,8,1,2.45e-05,202893,4,0.971,-10.09,0.124,0.0151,150.698,0.0936,0.21
When You're Gone,Bryan Adams,7p9dd71JR2ucoAuO1Sy0VZ,"68
",0.546,0,1,2.92e-05,204893,4,0.931,-6.344,0.0341,0.000299,125.495,0.11,0.643
By Your Side,Sade,4jsdqalaKwDTdPGLvps128,"0
",0.653,11,1,0.0038,274933,4,0.429,-10.475,0.0296,0.0848,146.071,0.0692,0.625
Shout,Lulu And The Luvvers,5pnjC3ic5HEhPAG5ELQYGj,"0
",0.465,9,1,0.000252,173827,4,0.728,-11.116,0.0377,0.534,143.744,0.37,0.87
White Shadows,Coldplay,0WWz2AaqxLoO0fa9ou6Fqc,"54
",0.492,8,0,0.0361,328220,4,0.783,-8.997,0.0483,0.00521,127.437,0.0951,0.26
Blind,Hercules & Love Affair,7rWS1umX04r7zzWnGNDu8w,"56
",0.708,9,0,0.000656,376973,4,0.931,-6.052,0.0328,0.00388,118.588,0.0392,0.594
Round Here,Counting Crows,0zDuCbY4NVcHD4pjXuvJMX,"0
",0.5,7,1,4.33e-05,331227,4,0.473,-9.331,0.0305,0.123,94.118,0.0816,0.2
American Woman,Lenny Kravitz,2BdSaGVMxZzEeJYjjrlo6n,"53
",0.669,1,1,0.0,261707,4,0.698,-7.971,0.0713,0.0243,83.987,0.0782,0.6
Shut Up,Black Eyed Peas,3JILPb8Uc6NKmHq1poT5ML,"0
",0.81,2,1,0.0,296187,4,0.714,-3.966,0.243,0.0637,112.968,0.237,0.561
Call Me,Blondie,0vLwL4xuJ3s7SeaCdvMqkY,"62
",0.551,2,1,0.000194,212893,4,0.628,-13.799,0.036,0.0336,142.167,0.151,0.777
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor,4nhWET56c4jPScMGnivGwz,"47
",0.684,1,0,0.00197,231867,4,0.819,-3.309,0.238,0.262,179.999,0.113,0.25
True Believer,E-Type,1nThB5NAb6HgmmtxB1ANel,"50
",0.497,10,0,0.000671,220960,4,0.946,-3.398,0.146,0.00355,141.086,0.0556,0.638
Holy Diver,Dio,54yLLvpezvPO1lA3GspiZj,"67
",0.473,10,0,0.475,340640,4,0.783,-10.671,0.0869,0.0125,91.976,0.268,0.124
Lights & Music,Cut Copy,7bLk4tjwot6OunULKjPcPA,"0
",0.598,10,0,0.191,277339,4,0.945,-4.278,0.0399,0.0586,126.01,0.793,0.598
Whiskey In The Jar,Thin Lizzy,63kMZoG9xuU96GQdioTCI4,"0
",0.552,0,1,0.00531,345760,4,0.918,-5.127,0.112,0.383,127.728,0.123,0.707
Downfall,Children Of Bodom,1EvvjSD5uWcAk7VE6lgvLJ,"0
",0.438,3,1,0.914,273707,4,0.95,-3.721,0.0554,0.00104,99.391,0.139,0.248
Collide,Howie Day,5aDpULK8MbJmHl42kR5KNI,"55
",0.636,11,1,5.35e-05,249120,4,0.625,-7.895,0.0277,0.222,93.931,0.119,0.342
Boombastic,Shaggy,1jqLJBQwo7yBCqYQWukLkq,"57
",0.866,2,1,1.97e-05,247173,4,0.788,-8.188,0.278,0.25,158.412,0.342,0.752
Frozen,Madonna,2II03llydk4YnkBBvoYB3B,"63
",0.602,1,1,0.0153,367333,4,0.616,-10.917,0.0353,0.662,108.017,0.149,0.31
Nobody Move, Nobody Get Hurt,0iUano4euaiUETVUd1u0cx,We Are Scientists,0.47,6,1,0.0,192311,4,0.969,-4.739,0.0968,0.000702,144.012,0.332,0.593
Paper Planes,M.I.A.,1wgqttlPacpvmX5DKVboOa,"79
",0.447,2,1,7.45e-05,205200,4,0.848,-6.175,0.222,0.033,172.247,0.65,0.485
Points of Authority,Linkin Park,04mlpyRplis2yvf18EwaeN,"47
",0.512,8,0,0.0,200240,4,0.97,-3.886,0.212,0.03,94.952,0.0994,0.427
Me equivocaría otra vez,Fito y Fitipaldis,5SMdW9cbM4wTMMPI8Ck08a,"62
",0.739,7,0,2.54e-06,306240,4,0.748,-3.806,0.0269,0.355,132.86,0.177,0.822
Dirty Harry,Gorillaz,2bfGNzdiRa1jXZRdfssSzR,"71
",0.625,10,0,0.0811,230426,4,0.877,-7.176,0.162,0.0315,192.296,0.672,0.865
Sheila,Jamie T,0FGtGmz8SVEywhUqNFYWsQ,"62
",0.729,7,1,0.0,259813,4,0.865,-6.006,0.05,0.0858,95.003,0.0764,0.709
Pink,Aerosmith,3xv4uNBLBYPXopnBR91mok,"0
",0.423,0,1,2.12e-06,235373,4,0.721,-5.651,0.0435,0.0155,171.737,0.125,0.776
Pajaros de Barro,Manolo Garcia,4B6ko7lt1sUtyFzBDF4yfK,"64
",0.719,5,0,0.0,246240,4,0.597,-5.964,0.106,0.485,144.99,0.0762,0.651
The Game,Disturbed,65gcNKRkQQTiRmGwXCpDDx,"22
",0.652,8,1,0.000439,226000,4,0.943,-3.746,0.0724,0.000649,131.977,0.0849,0.441
Weekend Wars,MGMT,19K3lUMJmOdeuOBTrbLm19,"59
",0.549,5,1,2.36e-05,250773,4,0.859,-3.993,0.0361,0.0964,77.013,0.322,0.69
The Point Of No Return,Immortal Technique,0LH4xaHG3wa42I1l2RyPs4,"0
",0.489,1,1,0.0,241827,4,0.829,-7.017,0.469,0.277,83.431,0.295,0.53
Self-Esteem,The Offspring,4u4KpbgVzzF62uoOItsEiG,"0
",0.482,0,1,0.0,257827,4,0.932,-3.463,0.0594,0.0407,104.532,0.358,0.702
My Heroine,Silverstein,21PdWaOu1eY6y1gnUdUC7u,"0
",0.408,4,0,0.000199,207587,4,0.817,-2.603,0.0329,0.000106,154.147,0.163,0.143
Whatever You Want,Status Quo,2kUzt5LsTUR0ggquP7O3eN,"65
",0.56,2,1,0.00259,243547,4,0.705,-6.761,0.0498,0.772,122.456,0.264,0.501
Name,The Goo Goo Dolls,1G8jae4jD8mwkXdodqHsBM,"68
",0.464,9,1,0.00182,270000,4,0.701,-5.943,0.0341,0.0691,73.97,0.0766,0.407
Panama,Van Halen,11dCfArPrM7kzYpUrFHal9,"0
",0.515,8,1,0.000195,212640,4,0.987,-5.391,0.108,0.00135,141.258,0.0697,0.298
Ragoo,Kings of Leon,3zEQXIH11FHiZ9KGIgm95Z,"0
",0.741,2,1,2.59e-06,181133,4,0.764,-5.94,0.0301,0.0377,102.008,0.0927,0.771
(Ghost) Riders In The Sky,Johnny Cash,0iooX8Cu3b4FYftTLCqlpA,"0
",0.548,10,0,0.0189,224640,4,0.693,-9.421,0.038,0.314,109.633,0.132,0.547
Hjärter Dams sista sång,Lars Winnerbäck,2KzuGvmshLMKf0Mg7iUXId,"0
",0.64,9,0,3.67e-06,232200,4,0.638,-5.887,0.0378,0.157,111.953,0.105,0.45
Old School Hollywood,System Of A Down,6iFVJGxSVdFkzYQJL7Rgdk,"57
",0.269,6,1,0.0,176867,4,0.967,-2.744,0.0964,0.000845,162.804,0.0541,0.598
All Shook Up,Elvis Presley,3lGmCsznIs6eIVVkSpXt5P,"0
",0.637,0,0,0.0,117800,4,0.604,-8.465,0.173,0.857,74.276,0.134,0.953
19-2000 - Soulchild Remix,Gorillaz,1PpfeNl5uYRBhfFcig2Uz6,"59
",0.672,0,1,0.0,209387,4,0.896,-3.986,0.0526,0.194,102.045,0.299,0.895
Hush - 1998 Remaster,Deep Purple,2Vim06YsRb4uJRpbeq6NR6,"62
",0.57,10,1,0.176,266840,4,0.635,-10.231,0.0482,0.00459,108.431,0.0901,0.196
Jolene (Live Under Blackpool Lights),The White Stripes,6XXxkAAmnrc1LI0HMP4tOj,"0
",0.325,0,1,0.0,198880,4,0.702,-6.86,0.0577,0.514,170.577,0.98,0.315
Trick Me,Kelis,3aImJnJlAgcE7bJ1NxthGt,"64
",0.97,1,0,0.000389,206107,4,0.72,-3.347,0.149,0.0369,107.17,0.326,0.962
I Am the Highway,Audioslave,3bwAS8cN7Xtzvv5UurJOOX,"67
",0.341,9,0,0.0,334907,4,0.662,-5.023,0.0335,0.105,174.875,0.113,0.2
Loving You,Paolo Nutini,1Q65IijKFoZzjIpsMv3FHe,"50
",0.585,2,1,0.0,239707,4,0.491,-7.48,0.14,0.209,166.835,0.0679,0.646
Question!,System Of A Down,6y2DHyCYf6azhUfXmnuH6w,"65
",0.207,4,0,0.0158,200600,4,0.972,-3.21,0.186,0.00083,180.798,0.318,0.364
Arriba Extremoduro,Melendi,5jwyM0a0Na89a0EfYMih4N,"42
",0.664,7,1,2.59e-06,191240,4,0.906,-2.383,0.068,0.093,149.933,0.284,0.865
School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe,"68
",0.294,5,1,0.125,210107,4,0.745,-9.138,0.0461,0.05,134.364,0.676,0.347
Trollhammaren,Finntroll,4qEHUjOale4SsjwwR8Xw3v,"0
",0.432,5,0,0.471,212240,4,0.936,-6.099,0.086,1.68e-06,94.967,0.311,0.441
Square One,Coldplay,2zQIITgo6sc5ppOfPcH205,"54
",0.447,0,0,0.00136,287635,4,0.679,-6.884,0.0319,0.00674,124.226,0.164,0.0599
Way Away,Yellowcard,63IIUzd6eJBfCGIcF8MFnJ,"58
",0.357,2,0,3.91e-05,202093,4,0.959,-4.081,0.113,6.93e-06,179.644,0.0825,0.364
Silence - DJ Tiësto's in Search of Sunrise Remix,Delerium,7tU5JvCfG0t3PHG7mchPjv,"43
",0.607,11,0,0.57,693680,4,0.863,-5.696,0.0563,0.00171,137.978,0.0693,0.0972
Little Sister,Queens of the Stone Age,5wHNRDvNDTvAvNUllq5v7R,"0
",0.361,1,1,0.00103,174027,4,0.962,-2.928,0.0659,0.0103,161.292,0.294,0.927
Say Yes,Elliott Smith,3ZhPm5eKa9OvrszjrMhlAM,"0
",0.518,0,1,0.000811,138133,4,0.0927,-20.232,0.0432,0.871,76.008,0.112,0.447
Piece of My Heart,Big Brother & The Holding Company,069M4J3e59EGCumtMchcRy,"0
",0.449,4,1,0.000121,254413,4,0.72,-8.118,0.154,0.237,160.601,0.218,0.571
Karma Chameleon,Culture Club,4NH4xiPQ7TqNGqj6pZV4ki,"57
",0.668,10,1,0.0,242200,4,0.473,-15.402,0.0336,0.231,91.976,0.115,0.962
What About Now,Daughtry,07dtD7iciEL7vHqATMXg3V,"49
",0.363,9,0,0.0,250311,4,0.834,-2.826,0.0436,0.0629,161.972,0.164,0.275
Kiss,Prince,62LJFaYihsdVrrkgUOJC05,"74
",0.898,7,1,0.00138,226240,4,0.271,-12.238,0.091,0.0135,111.485,0.0461,0.742
Siempre Que Quiera,Muchachito Bombo Infierno,0Fy2FQixaKKwp86YfRPlNY,"52
",0.665,9,0,0.0,234498,4,0.648,-7.829,0.132,0.303,139.876,0.0743,0.917
Material Girl,Madonna,7bkyXSi4GtVfD7itZRUR3e,"56
",0.78,0,1,1.59e-05,240707,4,0.63,-12.677,0.0321,0.261,136.719,0.055,0.981
Fuck Forever,Babyshambles,40VBtCOWsb3CadLYsATgxP,"51
",0.327,11,0,0.000371,277000,4,0.904,-3.3,0.0613,0.0109,113.138,0.292,0.439
Breed,Nirvana,2Y2UZ2SFU6HSNv5Qx0HdD3,"0
",0.267,11,1,0.339,183345,4,0.941,-8.836,0.0547,2.17e-06,159.003,0.113,0.464
Last Caress,Misfits,0S8LgLoseDB6W2HWd1ym6P,"58
",0.181,0,1,0.223,119827,4,0.946,-5.308,0.096,0.0257,178.743,0.344,0.363
Leave Right Now,Will Young,4mZsyuthp695XQWwb2g3qe,"59
",0.639,6,1,0.0,213013,4,0.456,-8.612,0.0391,0.141,81.988,0.133,0.372
Jag vet inte vem jag är men jag vet att jag är din,Håkan Hellström,1caeNKaXZzm5BGuVIOargV,"0
",0.411,0,1,4.69e-06,214413,4,0.935,-3.207,0.0853,0.13,145.323,0.323,0.415
Heroes - 1999 Remaster,David Bowie,5j6ZZwA9BnxZi5Bk0Ng4jB,"5
",0.478,7,1,0.585,370373,4,0.774,-6.977,0.0292,0.000265,112.577,0.191,0.429
Like A Star,Corinne Bailey Rae,5Anh8jULgeUgciLHCR25Mk,"65
",0.606,2,0,0.0001,243213,4,0.226,-10.617,0.0347,0.715,122.711,0.35,0.142
Blue Monday '88,New Order,31MOjWj3CT3dCQsMV2b8Wu,"67
",0.681,7,1,0.383,244720,4,0.893,-8.485,0.0378,6.47e-05,130.475,0.0626,0.951
Rockin' In The Free World - Live Acoustic Version Album Version,Neil Young,2zGoDgrvLqpTBc1TAkVL8M,"0
",0.426,2,0,0.0,219707,4,0.627,-9.004,0.032,0.34,136.744,0.379,0.486
Runaway,Linkin Park,2xQQsFEm7Enrk6fk2KI5C2,"45
",0.636,7,1,0.0,183973,4,0.884,-4.743,0.0584,0.0142,109.16,0.253,0.446
Falling In Love Again,Eagle-Eye Cherry,1n5D1zqPsicDrnOtKIaFaC,"0
",0.641,7,1,8.38e-06,210827,4,0.789,-8.199,0.0309,0.00916,100.019,0.149,0.635
Phantom Limb,The Shins,0vrHMozTallwoqzxmO6Avt,"0
",0.515,9,1,0.0,287533,4,0.871,-4.113,0.0367,0.000585,119.869,0.0877,0.498
I Wanna Be Your Lover,Prince,2uYCwZTphVUfQ4eEsz7yDO,"0
",0.806,8,0,0.0879,349787,4,0.389,-13.182,0.0575,0.0367,114.865,0.0789,0.705
Glósóli,Sigur Rós,1JfyhapKDVF6e6U5HXn3Fd,"44
",0.253,7,1,0.952,386880,4,0.694,-7.235,0.0545,0.0723,74.314,0.211,0.33
A Rush of Blood to the Head,Coldplay,4JJ5zGKnb1IpERyBrfmb1y,"58
",0.524,5,1,4.51e-06,351400,4,0.472,-8.018,0.0256,0.156,138.39,0.29,0.116
Old Yellow Bricks,Arctic Monkeys,6y5EpgkyyKaXy71ofaSTUE,"0
",0.661,0,1,6.35e-06,193227,4,0.85,-4.326,0.0729,0.000152,135.155,0.0788,0.732
New Born,Muse,7ek3wBbpv4dki41KgOHqML,"0
",0.238,4,1,0.298,363267,4,0.932,-5.809,0.0912,0.00326,150.899,0.114,0.186
One More Night,Phil Collins,5IlaV4UNciCTDGxWVPfMKL,"0
",0.614,3,1,5.8e-05,292120,4,0.366,-10.925,0.0325,0.589,136.388,0.089,0.304
The Modern Age,The Strokes,1EsgUWQsxGBwnu3NATDjiU,"56
",0.53,2,1,0.759,207679,4,0.89,-6.042,0.0328,0.0124,145.958,0.143,0.868
Say Your Number,Volbeat,7kZRKn6wmcMnEq7BjhiMVO,"0
",0.31,2,0,0.0309,282947,4,0.981,-4.67,0.114,3.46e-06,118.581,0.17,0.272
Know How,Kings of Convenience,4xqowxjJ03RWog4teL6oqG,"58
",0.689,8,1,0.196,238173,4,0.526,-10.225,0.0408,0.815,160.007,0.134,0.906
Flying Without Wings,Westlife,30ngg6jCMqOBcvj5fLgfBe,"64
",0.443,8,1,0.0,215307,4,0.493,-7.956,0.0318,0.323,72.742,0.21,0.283
So Far Away,Dire Straits,563mzpOxPuJGoM5PyWVD8f,"0
",0.718,4,1,0.169,240000,4,0.513,-9.664,0.0277,0.247,114.324,0.0696,0.618
Cripple and the Starfish,Antony and the Johnsons,5FaJJj3PK3lzRKk7eKhGDP,"0
",0.317,9,0,0.0051,251760,4,0.238,-11.631,0.0316,0.816,114.277,0.173,0.16
Blood Brothers,Iron Maiden,0Rikz1yDeAvCAS77IYoqTV,"0
",0.249,4,0,0.0336,435453,3,0.792,-6.456,0.047,0.0261,177.899,0.149,0.415
Oh Susie,Secret Service,7EFdBb3ao46AI9h9nhzLo1,"48
",0.626,9,0,0.000141,277333,4,0.42,-14.885,0.0294,0.000445,127.056,0.108,0.708
The Dark Of The Matinée,Franz Ferdinand,5xa2u2RtefcnBSNRJtMCI7,"0
",0.46,9,1,2.23e-06,245467,4,0.681,-8.583,0.0295,0.0052,114.621,0.169,0.72
Lebanese Blonde,Thievery Corporation,488E8BWYDCDrL6vunOAzPy,"59
",0.812,9,0,0.883,290827,4,0.837,-6.559,0.0473,0.217,92.001,0.0591,0.642
Every Little Thing,Carlene Carter,119PWdKmByTGpSY3Hmffnz,"46
",0.63,4,1,2.16e-06,194386,4,0.937,-4.839,0.0372,0.39,148.826,0.103,0.834
Little Lies,Fleetwood Mac,08o75xMKmGrKny6GsXrNJW,"62
",0.63,2,1,4.78e-05,218040,4,0.688,-9.816,0.0266,0.124,124.825,0.158,0.893
Geek in the Pink,Jason Mraz,5YRtzuDgicwaB4fif07GNO,"26
",0.699,10,0,0.0,235227,4,0.75,-4.47,0.0818,0.388,92.031,0.0283,0.897
So Far Away,Crossfade,2tHImX6L0zzQKyle2E99O4,"53
",0.503,4,0,0.0,205520,4,0.942,-5.025,0.094,0.000105,106.039,0.248,0.4
Love Song,Sara Bareilles,4E6cwWJWZw2zWf7VFbH7wf,"76
",0.583,2,0,0.0,258827,4,0.786,-3.142,0.0301,0.0208,123.055,0.188,0.573
But It's Better If You Do,Panic! At The Disco,6cZSRZJfYKvNzUo8ZNUy81,"53
",0.467,9,0,0.0,205752,4,0.848,-3.063,0.0716,0.0617,170.036,0.29,0.674
19-2000,Gorillaz,71koAFCnGnugRdGIDfS7f4,"61
",0.815,7,1,7.31e-06,210880,4,0.72,-7.311,0.0536,0.177,89.916,0.16,0.946
A Little Respect,Erasure,2WmC4RGB4bDAkN81j4RIwP,"0
",0.579,0,1,1.17e-05,213867,4,0.808,-7.411,0.0257,0.0466,114.106,0.295,0.64
You're the Inspiration - 2003 Remaster,Chicago,00VQ3oheHZ6JOMTqLNYpcH,"46
",0.591,11,1,0.0,227933,4,0.572,-6.783,0.0275,0.537,73.899,0.0981,0.317
Parklife,Blur,6Cv1yU5lCryrYVamre6xGc,"0
",0.634,4,1,0.0,185333,4,0.793,-10.06,0.0563,0.128,138.354,0.346,0.735
Something Else Or..,Volbeat,3ufSwY7qyVvI40TobkK2HZ,"0
",0.355,7,0,0.000185,248213,4,0.932,-5.134,0.0682,0.000152,135.734,0.0588,0.271
Maestro - Album Edit,Kaizers Orchestra,2oUvEYqPuWqAQvcDokPhfR,"0
",0.536,5,1,0.0,280640,4,0.8,-5.619,0.0336,0.0741,91.092,0.403,0.893
Save Me,Edguy,6IEXkn9PqPOpeyBHhsOh7M,"0
",0.393,1,0,0.0,227240,4,0.756,-4.387,0.0396,0.0564,177.857,0.149,0.211
Du gamla, fria nord,30wEJAiEhaFKwtUj8jQJxS,Lars Winnerbäck,0.495,7,1,5.92e-06,323747,3,0.217,-12.073,0.0376,0.759,136.358,0.0974,0.304
I Can't Dance - 2007 Digital Remaster,Genesis,7safX55XidhznxK5eDdDm5,"65
",0.916,3,1,1.13e-05,241360,4,0.523,-9.733,0.0521,0.432,107.564,0.0488,0.88
All The Same,Sick Puppies,3vIw7vxgUTPtppVwMfhcwo,"55
",0.311,0,1,0.0,258587,3,0.76,-6.301,0.0364,0.000962,177.592,0.104,0.189
All About Us,t.A.T.u.,6bZ1hoTmdiUYs363RosWjh,"0
",0.495,7,0,5.52e-06,180930,4,0.895,-4.625,0.0346,0.426,162.102,0.323,0.737
The Rose,Bette Midler,23X72rSGy4hhU57QodGk2P,"0
",0.185,0,1,0.0,213840,3,0.224,-9.357,0.0335,0.943,74.001,0.0866,0.0874
Pet Sematary,Ramones,7qCC1dtdFM0ajsQ1BgA2ya,"19
",0.437,2,0,0.000863,209107,4,0.953,-5.869,0.0414,0.000498,148.147,0.235,0.667
Afraid To Shoot Strangers - 1998 Remastered Version,Iron Maiden,7KxdTJntSyKRvEr9lwcCWA,"0
",0.331,6,0,0.0193,416493,4,0.741,-8.082,0.0412,0.00332,112.758,0.0829,0.347
I'll Stand by You,Pretenders,3Nf8oGn1okobzjDcFCvT6n,"71
",0.438,7,1,4.49e-06,240760,4,0.606,-6.549,0.0305,0.3,133.822,0.0754,0.266
