name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
7 Summers,Morgan Wallen,0Z0kNthq0sS4lvGz9SSlBF,0.625,0.775,-5.199,0.0248,0.431,101.961,0.12,0.588
To Hell & Back,Maren Morris,226TUHo7YO5d5ceR0sg1aG,0.463,0.71,-7.051,0.0859,0.148,78.144,0.123,0.44
Something You Ain't Ever Had,Waterloo Revival,24QBf1y8rRcyBgKjoUlIdn,0.488,0.781,-5.758,0.0446,0.0173,76.971,0.208,0.582
Love You Like I Used To,Russell Dickerson,1D7cfiC5mxqHfTCcOiRBej,0.501,0.788,-4.624,0.0415,0.12,152.047,0.137,0.61
Bluebird,Miranda Lambert,0kPeZAyIhIfeZNrtfjJGDB,0.661,0.633,-5.986,0.0349,0.038,81.984,0.124,0.613
God Whispered Your Name,Keith Urban,7Ce11Oh1kConF6UlkBWnaZ,0.594,0.6,-6.712,0.0498,0.306,145.967,0.149,0.5
Every Other Memory,Ryan Hurd,3t2xlkvPsrcyia0eBaCZ53,0.633,0.732,-6.995,0.0351,0.000475,103.019,0.108,0.515
Lovin' On You,Luke Combs,0nYvjcSlCgjcwogQAwIwNp,0.572,0.949,-4.865,0.06,0.00165,118.974,0.163,0.53
I Called Mama,Tim McGraw,3YuvAPidBWldqjagOryo40,0.501,0.63,-7.018,0.0329,0.589,86.186,0.151,0.542
Hawái,Maluma,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,-3.455,0.389,0.189,180.066,0.0629,0.545
"Ay, DiOs Mío!",KAROL G,7x4ASXYEKfQBCewcZhK776,0.718,0.712,-4.366,0.174,0.512,180.034,0.104,0.531
La Curiosidad,Jay Wheeler,4HYDUMY0xSpeBr0AMY9cUz,0.845,0.677,-4.798,0.136,0.269,90.013,0.108,0.68
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,-8.234,0.0545,0.00536,168.169,0.173,0.393
Djadja (feat. Maluma) - Remix,Aya Nakamura,6AzKhCHOms83jvNVLsz0Bt,0.791,0.682,-7.328,0.158,0.175,98.031,0.0926,0.672
Relación,Sech,3ZG8N7aWw2meb6UrI5ZmnZ,0.805,0.562,-3.117,0.105,0.125,172.094,0.148,0.767
La Jeepeta - Remix,Nio Garcia,1mohfLaTJtB2RplHLQVM70,0.815,0.715,-4.65,0.207,0.3,176.007,0.091,0.786
Caramelo,Ozuna,3gD4J3RUHy4OUuZ3qAiaiG,0.728,0.806,-3.766,0.0623,0.0531,168.084,0.153,0.698
